BTC,buy,7164.2372212325,0.0013958220102432133
BCH,buy,205.56802647,0.024322848673792592
BTC,sell,10.0,0.0013747373611906523
BCH,sell,5.0,0.024025361652267367
BSV,buy,96.69805027000001,0.10341470145548984
LTC,buy,47.4719729725,0.21065060864002624
ETH,buy,150.314048,0.06652738139285556
BCH,buy,204.9761625,0.07317924102516067
ETH,sell,10.0,0.06817923274938546
BSV,sell,10.0,0.10597769400344749
BCH,sell,15.0,0.07216155957789754
BCH,buy,208.85987156,0.07181848714146552
BTC,buy,7237.0876,0.0013817713081157122
ETH,buy,150.778379935,0.06632250594754342
ETH,sell,10.0,0.06792038943147734
BCH,sell,15.0,0.07388101586242105
BSV,buy,93.50717998750001,0.10694365931404193
LTC,sell,10.0,0.2159025771099387
BSV,sell,10.0,0.10545721815844765
BSV,buy,96.490625,0.10363701136768469
BSV,sell,10.0,0.10235017772567569
BTC,sell,10.0,0.0013653129867001452
BSV,buy,109.5057647075,0.0913193933370624
BSV,sell,105.5305125,0.09475932375482399
LTC,buy,47.6538375,0.2098466886323688
BCH,buy,212.18915,0.07069164469531077
LTC,sell,47.278158375000004,0.2115141609510715
BCH,sell,210.0735,0.07140358017551
BSV,buy,105.853299315,0.09447036667455999
BSV,sell,104.6147187225,0.09558884373169232
BSV,buy,103.776055155,0.09636134255695104
BSV,sell,102.2965666275,0.09775499148875381
LTC,buy,46.3305375,0.2158403623096322
LTC,sell,45.72948974999999,0.2186772705024552
BCH,buy,206.424775,0.07266569625666298
BTC,buy,7067.609814129999,0.0014149055003018682
ETH,buy,146.33318265500003,0.06833720020684804
BSV,buy,100.42692019750001,0.0995748946630441
BTC,sell,6989.571334357501,0.001430702903172992
ETH,sell,144.59172472499998,0.06916025117633164
BCH,sell,204.05510569499998,0.07350955492591504
BSV,sell,99.4158375,0.10058759500969854
LTC,buy,44.9017775075,0.22270833261176992
LTC,sell,44.4287567325,0.2250794470844357
2019/11/24 12:30:29,BCH,buy,206.7012574825,0.07256849901491261
2019/11/24 12:30:30,BSV,buy,102.28922434750001,0.09776200830331552
2019/11/24 14:45:29,BSV,sell,103.74784034999999,0.09638754856259522
2019/11/24 16:00:29,BSV,buy,103.37982003750001,0.09673067718992545
2019/11/24 18:05:14,BSV,sell,98.20640665500001,0.10182635064869128
2019/11/24 18:20:42,BTC,buy,6868.874558989999,0.0014558425713149727
2019/11/24 19:40:43,BSV,buy,96.1004921,0.10405773978341575
2019/11/24 19:41:42,BCH,sell,196.18239879,0.07645945860849875
2019/11/24 20:11:43,BSV,sell,97.07171249999999,0.1030166228910405
2019/11/24 20:24:43,BSV,buy,97.67721207000001,0.10237802439358668
2019/11/24 21:43:42,BCH,buy,199.5777090225,0.07515869419219022
2019/11/24 23:35:44,BTC,sell,6509.7897375,0.001536147925392191
2019/11/25 01:35:44,BTC,buy,6700.4032259775,0.0014924474934926222
2019/11/25 03:45:43,BTC,sell,6784.37655,0.0014739747899164
2019/11/25 04:36:47,BTC,buy,6760.7374955025,0.001479128572386131
2019/11/25 04:48:42,BCH,sell,202.029925335,0.07424642648918198
2019/11/25 04:49:42,BSV,sell,98.8571447325,0.10115606744519325
2019/11/25 04:50:43,BTC,sell,6865.22985015,0.0014566154692958325
2019/11/25 07:51:43,BSV,buy,104.129675,0.0960341036308814
2019/11/25 07:55:42,BCH,buy,209.054498915,0.07175162494875983
2019/11/25 08:04:43,BSV,sell,105.5066373375,0.09478076690105752
2019/11/25 08:30:42,BCH,sell,211.49493750000002,0.07092368345696218
2019/11/25 08:46:44,BSV,buy,105.74024338,0.09457137302079852
2019/11/25 09:12:43,BSV,sell,106.90156428,0.09354400066408457
2019/11/25 11:07:42,BCH,buy,211.4025052925,0.07095469365060623
2019/11/25 11:15:43,BSV,buy,108.00070043,0.09259199209065723
